sim_id	zmean	alpha	kb	rc
sim0	8.026352962735038	0.12356943184958223	0.3618131624173204	0
sim1	8.276312563786027	0.6585927527913198	1.3195702043735404	0
sim2	8.481533100039458	0.5697874048176231	0.3694246633297329	0
sim3	8.802202146137777	0.15189623635816377	1.3493456725796926	0
sim4	7.723515168078052	0.19428989629299925	1.1119121260075406	0
sim5	7.947401195908206	0.8925807419317987	1.729593744416478	0
sim6	8.124017497427598	0.4238546797051783	0.9506004431284756	0
sim7	8.176681920135184	0.5200176882520177	0.27892823182830895	0
sim8	8.696313240251431	0.29988084066591814	1.877048468651081	0
sim9	7.405435133436335	0.7726511960658117	1.2661148538910263	0
sim10	7.961657548549048	0.25308247799124983	1.9768552854082504	0
sim11	8.542677451385234	0.32615398450903	1.57672055948432	0
sim12	8.22405912893633	0.23707822629725012	1.6903106799828882	0
sim13	8.249459158319393	0.5074281055470128	0.1649184702071299	0
sim14	7.395241872007408	0.6778802908311707	1.5597009989126676	0
sim15	7.193745154874985	0.17988420418567946	1.828381513489475	0
sim16	8.610065963164093	0.2082534997245874	1.7695738838650428	0
sim17	7.034848749901809	0.43597455112565353	0.5867597127914994	0
sim18	7.928482538319261	0.38458160982973644	0.8821330554011371	0
sim19	7.7876701749717965	0.4498713287039098	0.2935905798849564	0
sim20	8.450010264993939	0.8699295174319691	1.1342443073597923	0
sim21	7.371251192768855	0.8168307644446607	1.2395775295295224	0
sim22	7.15061298423664	0.35901153278273523	1.4690238450007962	0
sim23	7.5512934783966905	0.61611486877536	0.8691368122643895	0
sim24	8.191828180400158	0.55136963424919	0.8586633372077612	0
sim25	8.890232323375935	0.4871188413735862	1.8338662969609265	0
sim26	8.831403393591316	0.35357758293822095	1.448888089366968	0
sim27	8.30487042059708	0.6433793922384113	0.9646902272844806	0
sim28	7.8739127780643505	0.2292734227025891	1.5829409586172485	0
sim29	7.013622508425312	0.2768178536885899	1.4235869480384034	0
sim30	8.10375775778973	0.7096092512155272	1.2845495816367896	0
sim31	7.995425930904488	0.30689860428206184	1.0609369483603868	0
sim32	8.516969224939613	0.1250138164096956	0.9135965916077317	0
sim33	7.239394106767754	0.3915260025829307	1.3078526811863116	0
sim34	7.522828051568813	0.850713348995768	0.6251532797115555	0
sim35	7.827189801263349	0.8525513652031059	1.8050257805802818	0
sim36	7.066238031728363	0.4988075787811571	1.6629370555049996	0
sim37	8.65413637433958	0.5460500391634368	0.20963339268094658	0
sim38	7.912586976696649	0.5373715593001508	1.076359808235455	0
sim39	8.789105691996166	0.24600285516087275	0.15139586857690523	0
sim40	8.3607889254325	0.6076521379311991	0.3150909411802192	0
sim41	7.4662348150301465	0.3387816176580053	1.1042445354205248	0
sim42	7.4907591235590045	0.6718245317326851	1.6528311496899375	0
sim43	8.436397581061119	0.6319686313024622	1.2084668713802347	0
sim44	7.635424910931555	0.13825265415309013	1.9248569178797026	0
sim45	7.165502141316715	0.7077253052139308	1.3923492763503589	0
sim46	8.639830076674162	0.8338803049467897	0.21557084112084257	0
sim47	8.978392245672204	0.7651622743662374	0.9902511294499441	0
sim48	8.296415178445416	0.36572261221360625	1.16598694292437	0
sim49	8.330785313478554	0.5636921305423822	0.24600920005596177	0
sim50	7.819694135006152	0.1452066105189512	1.4934731096411475	0
sim51	8.674695677356134	0.7827838492924725	0.7283778762641528	0
sim52	7.770677224828312	0.21834312351467575	1.7734684293518443	0
sim53	8.141082867781147	0.698920754768648	1.6219068678584065	0
sim54	7.254157016663232	0.5309745964542381	0.7627565428855682	0
sim55	8.984810998458297	0.4832924598846493	0.5035001168714797	0
sim56	8.395207628920277	0.5766497296806167	0.8192826635915087	0
sim57	7.326946604057551	0.7523377125851654	1.0235172271245834	0
sim58	7.503906537249636	0.5923278791166897	0.9228602015910071	0
sim59	7.564360218458135	0.7270809499340675	0.7087335729993618	0
sim60	7.348982439051567	0.866247899781832	1.74270428298426	0
sim61	7.715108860383336	0.4753333838623157	0.5226291202568745	0
sim62	8.094710049029977	0.2734908765036641	0.8222214856957801	0
sim63	8.571988843368096	0.8884695032333866	0.462508624131182	0
sim64	7.104198672434389	0.39712414329874657	0.3951012224352768	0
sim65	8.775749928525439	0.7954748894679926	0.7824835336375532	0
sim66	8.597260208939547	0.37784520860664583	1.18722989494362	0
sim67	7.31540947982408	0.31262565134823816	0.6992954058354894	0
sim68	8.213806280157215	0.882583912778614	1.2539074150398455	0
sim69	7.742952912375599	0.1960474218022905	1.1569571893380806	0
sim70	7.210764981824728	0.6253200915706985	1.005056664605	0
sim71	7.446256530110503	0.4541173894876731	0.6069762858031048	0
sim72	7.437099598281889	0.8063397919790364	0.6806515710500479	0
sim73	8.041674094488487	0.26472532712700847	1.3724734148672506	0
sim74	7.645477227203497	0.18011374487775614	1.611139125289503	0
sim75	7.880947012223588	0.7466992823330267	0.3429556659270939	0
sim76	8.413169759164418	0.46475243171163894	0.12091029442099316	0
sim77	8.520549804600842	0.7999183021633984	0.7897618587302642	0
sim78	7.667447620508163	0.40511573796494027	0.5539521509627138	0
sim79	7.288766503423877	0.1575333647453334	1.3772896847774811	0
sim80	7.604650760943185	0.6841503997217739	0.1944622274986103	0
sim81	8.717878045250114	0.8427733661595734	0.6399632455373285	0
sim82	8.071383254343742	0.3234869647207047	1.8996955206609718	0
sim83	7.0921847949130905	0.34395303024623536	0.4276409610499099	0
sim84	7.270219525943735	0.7333941792773119	1.7047311053317664	0
sim85	8.472856335965417	0.22155218015293957	1.4644588076130347	0
sim86	8.842214219364276	0.4146126903400711	0.4048858322115394	0
sim87	7.1358031400838975	0.1061380343674309	1.9153253832229393	0
sim88	7.857024883760272	0.11568218708138217	0.6633137458883069	0
sim89	7.584978531260617	0.7568881197289393	0.26656671158107836	0
sim90	8.74111392617486	0.7233660940381105	0.4975124616068842	0
sim91	8.945892388246339	0.8274575772363251	1.5065576995149677	0
sim92	8.87451580379446	0.17097020948285946	0.10439936516756956	0
